Totalen,,0,106,1:05,2:12,9,2:45,12:31
18:00,-,18:30,0,0,0,0,0,:00
17:30,-,18:00,0,0,0,0,0,:00
17:00,-,17:30,0,0,0,0,0,:00
16:30,-,17:00,0,0,0,0,0,:00
16:00,-,16:30,4,:33,1:29,0,0,1:40
15:30,-,16:00,8,:48,1:45,0,0,2:33
15:00,-,15:30,12,:53,1:47,0,0,2:34
14:30,-,15:00,13,1:07,1:58,2,1:42,4:04
14:00,-,14:30,12,:32,1:44,1,1:28,2:19
13:30,-,14:00,9,:14,3:21,1,:53,2:06
13:00,-,13:30,0,0,0,0,0,:00
12:30,-,13:00,1,:11,2:46,0,0,:11
12:00,-,12:30,6,:20,2:03,0,0,4:58
11:30,-,12:00,13,1:40,1:50,1,1:11,3:46
11:00,-,11:30,5,6:56,1:59,2,3:09,12:31
10:30,-,11:00,2,:08,5:25,0,0,2:07
10:00,-,10:30,6,1:07,3:16,0,0,1:56
09:30,-,10:00,5,:57,1:41,0,0,2:07
09:00,-,09:30,7,:12,2:49,0,0,:24
08:30,-,09:00,3,:08,2:46,2,5:48,8:24
08:00,-,08:30,0,0,0,0,0,:00
07:30,-,08:00,0,0,0,0,0,:00
default
