Totalen,,0,57,:21,1:47,5,:36,3:04
18:00,-,18:30,0,0,0,0,0,:00
17:30,-,18:00,0,0,0,0,0,:00
17:00,-,17:30,0,0,0,0,0,:00
16:30,-,17:00,1,:03,1:05,0,0,:03
16:00,-,16:30,2,:43,1:10,0,0,1:23
15:30,-,16:00,4,:10,1:08,0,0,:31
15:00,-,15:30,6,:28,2:18,0,0,1:01
14:30,-,15:00,2,:08,2:49,0,0,:13
14:00,-,14:30,2,:04,1:48,1,:39,:39
13:30,-,14:00,8,:12,1:33,2,:36,1:21
13:00,-,13:30,0,0,0,0,0,:00
12:30,-,13:00,0,0,0,0,0,:00
12:00,-,12:30,5,:09,1:45,0,0,1:08
11:30,-,12:00,1,:09,6:03,0,0,:09
11:00,-,11:30,5,:34,1:05,0,0,1:56
10:30,-,11:00,5,:20,1:42,0,0,1:08
10:00,-,10:30,4,:08,1:43,0,0,:14
09:30,-,10:00,2,1:36,2:42,0,0,3:04
09:00,-,09:30,8,:18,1:43,1,:38,:38
08:30,-,09:00,2,:46,1:56,1,:32,1:24
08:00,-,08:30,0,0,0,0,0,:00
07:30,-,08:00,0,0,0,0,0,:00
default
