Totalen,,0,161,2:34,2:39,85,:53,17:07
18:00,-,18:30,0,0,0,0,0,:00
17:30,-,18:00,0,0,0,0,0,:00
17:00,-,17:30,0,0,0,0,0,:00
16:30,-,17:00,1,:14,7:27,1,1:05,1:05
16:00,-,16:30,9,1:54,2:44,2,1:24,4:38
15:30,-,16:00,8,2:58,2:55,3,:33,6:54
15:00,-,15:30,11,1:09,1:07,1,3:54,4:45
14:30,-,15:00,8,1:38,5:51,5,:55,4:17
14:00,-,14:30,8,1:22,2:14,1,1:22,3:46
13:30,-,14:00,7,5:25,4:32,2,1:30,7:43
13:00,-,13:30,9,:47,1:09,1,1:12,3:39
12:30,-,13:00,7,1:10,1:46,1,:24,3:15
12:00,-,12:30,6,:07,1:45,1,1:21,1:21
11:30,-,12:00,8,1:23,2:29,2,2:34,5:05
11:00,-,11:30,13,2:38,2:49,7,1:31,9:08
10:30,-,11:00,7,:20,3:43,4,:44,2:14
10:00,-,10:30,10,:50,1:50,1,:05,4:17
09:30,-,10:00,11,1:48,4:45,4,1:18,4:59
09:00,-,09:30,8,1:37,3:15,2,1:06,4:12
08:30,-,09:00,25,5:15,1:29,15,:42,14:03
08:00,-,08:30,5,12:31,2:39,32,:32,17:07
07:30,-,08:00,0,0,0,0,0,:00
default
