Totalen,,0,65,:32,3:21,14,2:04,9:58
18:00,-,18:30,0,0,0,0,0,:00
17:30,-,18:00,0,0,0,0,0,:00
17:00,-,17:30,0,0,0,0,0,:00
16:30,-,17:00,2,:06,5:53,1,1:16,1:16
16:00,-,16:30,5,:17,1:36,0,0,:46
15:30,-,16:00,3,:21,4:36,0,0,:36
15:00,-,15:30,7,1:16,6:05,0,0,3:31
14:30,-,15:00,3,:06,5:39,0,0,:08
14:00,-,14:30,4,1:24,3:10,0,0,3:31
13:30,-,14:00,3,:06,3:47,0,0,:48
13:00,-,13:30,7,:09,4:38,1,1:49,1:49
12:30,-,13:00,1,:11,3:06,0,0,:11
12:00,-,12:30,0,0,0,1,4:44,4:44
11:30,-,12:00,5,:08,1:47,2,1:14,1:42
11:00,-,11:30,5,:11,5:08,1,:46,:46
10:30,-,11:00,6,:20,1:36,1,:19,1:01
10:00,-,10:30,7,:18,1:27,2,5:25,9:58
09:30,-,10:00,2,:05,:58,1,1:07,1:07
09:00,-,09:30,1,:05,3:44,0,0,:05
08:30,-,09:00,3,3:04,1:17,4,1:26,5:09
08:00,-,08:30,1,:21,1:01,0,0,:21
07:30,-,08:00,0,0,0,0,0,:00
default
